UIM,Agreement Number,Name,Email,City,Amount
5166457105236,9746370336,Chris Garcia,chris.garcia852@mail.com,Sunnyvale,3164.17
3000925135193,3953479227,Chris Jones,chris.jones629@mail.com,Fremont,6037.22
8466151803585,6505636192,Chris Davis,chris.davis322@test.com,Fremont,5388.52
4564168020918,9482349741,Riley Garcia,riley.garcia943@mail.com,Palo Alto,1851.41
2623029220780,3503137428,Jane Miller,jane.miller187@mail.com,San Jose,1786.3
7861002521159,8097150091,Casey Johnson,casey.johnson235@mail.com,San Jose,2788.13
9635607795435,6895880842,Riley Garcia,riley.garcia942@mail.com,Cupertino,4485.17
1464556047986,8382843784,Riley Garcia,riley.garcia174@mail.com,San Jose,4073.69
5770746947880,3861093530,Jane Jones,jane.jones146@test.com,Mountain View,358.67
2501416560193,9118354525,Chris Brown,chris.brown669@mail.com,Mountain View,2741.14
2434889374693,2480724879,Jordan Miller,jordan.miller387@test.com,Sunnyvale,1041.11
7529207175209,2553355314,Taylor Brown,taylor.brown83@mail.com,Cupertino,6789.51
2070722160252,1375831195,Casey Williams,casey.williams662@mail.com,San Jose,2143.0
8466235640611,6347888706,John Martinez,john.martinez146@mail.com,Milpitas,870.67
1487479630200,664461100,Jane Davis,jane.davis883@mail.com,Milpitas,3053.61
4958326364469,3291144664,Alex Johnson,alex.johnson819@example.com,Santa Clara,8350.77
0662797232582,755320855,Pat Rodriguez,pat.rodriguez751@mail.com,Mountain View,9552.47
686013404687,5824980082,Jane Rodriguez,jane.rodriguez388@mail.com,Fremont,3642.87
7211524402871,8368929897,Casey Davis,casey.davis879@example.com,Santa Clara,6833.28
6721971104214,4237607069,Casey Rodriguez,casey.rodriguez273@mail.com,Palo Alto,8506.97
5814251286493,2097436142,Casey Rodriguez,casey.rodriguez363@mail.com,Fremont,4883.71
9520453736293,6228698317,Chris Jones,chris.jones401@mail.com,Milpitas,2344.88
5659037259135,7831672901,John Smith,john.smith557@example.com,Santa Clara,9705.62
672689487142,7552399269,Morgan Williams,morgan.williams686@test.com,Santa Clara,848.36
6972030144680,7013457160,Chris Garcia,chris.garcia299@example.com,Fremont,5445.65
6698251018798,795807263,Pat Rodriguez,pat.rodriguez193@test.com,Palo Alto,7930.15
1311203829449,5050725712,Pat Martinez,pat.martinez281@test.com,Fremont,3235.93
3544218632406,6129361324,Riley Garcia,riley.garcia625@mail.com,Milpitas,6325.87
5166916300860,6252233391,John Martinez,john.martinez737@mail.com,Mountain View,9922.94
6493415299431,7743566647,John Smith,john.smith339@test.com,Sunnyvale,7747.33
0599519997534,3530808481,Jane Brown,jane.brown214@test.com,Mountain View,8289.44
8066602093479,6537489943,Taylor Garcia,taylor.garcia985@test.com,Santa Clara,216.71
2833397345531,0737078783,Taylor Johnson,taylor.johnson33@example.com,Mountain View,5912.93
1176945805200,2868785132,John Jones,john.jones103@mail.com,Fremont,7375.39
7911312422877,7691264897,Pat Martinez,pat.martinez488@mail.com,Palo Alto,7390.97
7245310803088,9235077622,Alex Rodriguez,alex.rodriguez627@mail.com,Sunnyvale,8793.38
4829589081596,8540819341,Chris Jones,chris.jones173@mail.com,Mountain View,8491.62
7416960607216,796751335,John Garcia,john.garcia732@test.com,Cupertino,9310.2
6491098114910,5622653306,Chris Smith,chris.smith780@example.com,Santa Clara,4110.79
0302290297335,9270970933,Jordan Miller,jordan.miller168@example.com,Cupertino,1021.96
9116791690334,1086496889,Jordan Williams,jordan.williams91@test.com,Palo Alto,4724.06
6132987577059,2578649261,Taylor Smith,taylor.smith261@example.com,Milpitas,6020.8
8239435467145,1073830292,John Miller,john.miller147@example.com,Cupertino,2207.85
1755279232546,8065888591,Taylor Smith,taylor.smith830@test.com,Palo Alto,4742.27
5998584537148,6120744679,Taylor Martinez,taylor.martinez482@test.com,Mountain View,6952.04
2970829199616,3987269209,Chris Miller,chris.miller35@example.com,Palo Alto,5497.24
4255117624292,3624809328,Alex Williams,alex.williams131@test.com,Palo Alto,4195.56
9765833850803,9121900932,Alex Johnson,alex.johnson835@example.com,Cupertino,1277.34
0710643687041,4335900550,Jane Johnson,jane.johnson784@example.com,Palo Alto,5488.85
8384494323204,4857134166,Riley Brown,riley.brown823@example.com,Sunnyvale,7835.31
0851336056236,1511533885,Morgan Smith,morgan.smith905@test.com,Fremont,5772.96
6292593104114,2675284687,Pat Smith,pat.smith95@test.com,Mountain View,8686.18
4060453287626,8536319931,Chris Davis,chris.davis802@mail.com,Mountain View,2778.94
1631390934933,0796479815,Taylor Smith,taylor.smith164@test.com,Fremont,7105.95
1218267339550,1008760417,Jordan Williams,jordan.williams199@example.com,Sunnyvale,7285.53
1009046622026,4617379890,Alex Brown,alex.brown349@test.com,Mountain View,3349.09
3203461356699,2717457512,Morgan Miller,morgan.miller227@example.com,Palo Alto,3818.77
2984779720711,5176549236,Riley Williams,riley.williams834@example.com,Fremont,3005.02
2674373433730,3650638863,Pat Johnson,pat.johnson602@test.com,Palo Alto,4624.87
4561434215103,2501237529,Pat Johnson,pat.johnson472@mail.com,San Jose,8351.59
4609034546919,9516383711,Taylor Miller,taylor.miller20@example.com,Palo Alto,2701.73
5190821883810,0553460987,Casey Smith,casey.smith711@test.com,Mountain View,6058.43
8932028297450,5930342609,Jane Jones,jane.jones826@test.com,San Jose,3995.77
9764215043343,185457342,Jordan Williams,jordan.williams38@test.com,Palo Alto,1856.9
3260232753638,27063110,Morgan Smith,morgan.smith895@mail.com,Palo Alto,8654.7
2937296378342,7506295982,Alex Jones,alex.jones936@test.com,Santa Clara,7934.18
3394205017812,026737712,John Johnson,john.johnson954@mail.com,Fremont,9096.8
6751847876217,370254152,Morgan Brown,morgan.brown799@mail.com,Mountain View,8514.39
3280036719327,0606618762,Pat Rodriguez,pat.rodriguez230@mail.com,Fremont,6698.87
0723318886027,1333737964,Jane Williams,jane.williams727@mail.com,Milpitas,9198.22
7473443518420,4751325878,Jane Davis,jane.davis224@test.com,Milpitas,858.21
1553850151461,0122244473,Pat Martinez,pat.martinez976@test.com,Santa Clara,2392.4
9367810737385,4102536171,Morgan Johnson,morgan.johnson222@mail.com,Palo Alto,956.6
6593071335639,4637512989,Riley Garcia,riley.garcia970@mail.com,Santa Clara,8778.99
051208657291,1628121606,Jane Williams,jane.williams178@example.com,Santa Clara,6504.35
2255739875326,2178374555,John Davis,john.davis107@example.com,Milpitas,319.68
7809699296587,2339659384,Casey Garcia,casey.garcia282@example.com,Milpitas,6355.86
745189113854,1511987810,Morgan Smith,morgan.smith687@example.com,Mountain View,5007.83
0127627563883,9337423171,Taylor Davis,taylor.davis942@test.com,Santa Clara,6070.16
1696727675331,4365882414,Morgan Brown,morgan.brown185@example.com,Milpitas,2325.44
4440548046529,8728718364,Jane Rodriguez,jane.rodriguez422@mail.com,Milpitas,6191.98
9312765647938,674443038,Chris Garcia,chris.garcia502@mail.com,Santa Clara,2012.18
3525292673193,1869794301,Pat Miller,pat.miller722@mail.com,Palo Alto,8476.56
6058360258640,2974874537,Chris Brown,chris.brown427@test.com,Santa Clara,3038.57
1057595644837,623035888,Morgan Miller,morgan.miller694@mail.com,San Jose,4720.34
7369338906426,1859063584,Casey Johnson,casey.johnson54@mail.com,Santa Clara,5683.79
9503289950235,9626200300,Riley Williams,riley.williams152@mail.com,San Jose,6843.78
4378780319240,5601518652,Jordan Smith,jordan.smith395@mail.com,Cupertino,5984.04
2526085975298,973371534,Chris Smith,chris.smith656@test.com,Milpitas,5690.66
3134462484109,5578767151,John Rodriguez,john.rodriguez878@mail.com,Mountain View,5828.73
1122423248183,6631356474,John Davis,john.davis623@mail.com,Santa Clara,4842.72
8105284034357,40925391,Riley Jones,riley.jones978@test.com,Fremont,2658.43
